,percent_wom,tick,position
386,32.55555555555556,64,Level 3
387,37.77777777777778,64,Level 4
388,46.2037037037037,64,Level 5
389,48.332175925925924,64,Level 6
390,19.22222222222222,65,Level 1
391,30.5,65,Level 2
392,32.5,65,Level 3
393,37.77777777777778,65,Level 4
394,46.34722222222222,65,Level 5
395,48.27777777777777,65,Level 6
396,18.88888888888889,66,Level 1
397,30.555555555555557,66,Level 2
398,32.80555555555556,66,Level 3
399,37.80555555555555,66,Level 4
400,46.42129629629629,66,Level 5
401,48.23379629629629,66,Level 6
402,19.22222222222222,67,Level 1
403,30.666666666666664,67,Level 2
404,32.83333333333333,67,Level 3
405,37.90277777777778,67,Level 4
406,46.541666666666664,67,Level 5
407,48.23263888888889,67,Level 6
408,19.11111111111111,68,Level 1
409,30.777777777777775,68,Level 2
410,32.75,68,Level 3
411,38.05555555555556,68,Level 4
412,46.5462962962963,68,Level 5
413,48.24189814814815,68,Level 6
414,19.11111111111111,69,Level 1
415,30.72222222222222,69,Level 2
416,32.916666666666664,69,Level 3
417,38.166666666666664,69,Level 4
418,46.58796296296296,69,Level 5
419,48.2349537037037,69,Level 6
420,19.0,70,Level 1
421,30.777777777777775,70,Level 2
422,33.0,70,Level 3
423,38.416666666666664,70,Level 4
424,46.65277777777778,70,Level 5
425,48.22800925925926,70,Level 6
426,19.11111111111111,71,Level 1
427,31.166666666666664,71,Level 2
428,33.22222222222222,71,Level 3
429,38.513888888888886,71,Level 4
430,46.63425925925926,71,Level 5
431,48.23379629629629,71,Level 6
432,19.333333333333332,72,Level 1
433,31.333333333333336,72,Level 2
434,32.94444444444444,72,Level 3
435,38.68055555555556,72,Level 4
436,46.58796296296296,72,Level 5
437,48.2974537037037,72,Level 6
438,19.444444444444446,73,Level 1
439,31.61111111111111,73,Level 2
440,32.88888888888889,73,Level 3
441,38.47222222222222,73,Level 4
442,46.71296296296296,73,Level 5
443,48.29050925925926,73,Level 6
444,19.88888888888889,74,Level 1
445,31.333333333333336,74,Level 2
446,32.97222222222223,74,Level 3
447,38.58333333333333,74,Level 4
448,46.77777777777778,74,Level 5
449,48.276620370370374,74,Level 6
450,19.666666666666664,75,Level 1
451,31.277777777777775,75,Level 2
452,33.27777777777778,75,Level 3
453,38.68055555555556,75,Level 4
454,46.72222222222222,75,Level 5
455,48.27893518518518,75,Level 6
456,19.77777777777778,76,Level 1
457,31.444444444444446,76,Level 2
458,33.30555555555556,76,Level 3
459,38.68055555555556,76,Level 4
460,46.7962962962963,76,Level 5
461,48.27199074074074,76,Level 6
462,19.88888888888889,77,Level 1
463,31.11111111111111,77,Level 2
464,33.33333333333333,77,Level 3
465,38.75,77,Level 4
466,46.86574074074074,77,Level 5
467,48.260416666666664,77,Level 6
468,20.11111111111111,78,Level 1
469,31.277777777777775,78,Level 2
470,33.30555555555556,78,Level 3
471,38.861111111111114,78,Level 4
472,47.0,78,Level 5
473,48.2025462962963,78,Level 6
474,20.11111111111111,79,Level 1
475,31.333333333333336,79,Level 2
476,33.27777777777778,79,Level 3
477,39.013888888888886,79,Level 4
478,47.05555555555556,79,Level 5
479,48.21064814814815,79,Level 6
480,20.333333333333332,80,Level 1
481,31.5,80,Level 2
482,33.47222222222222,80,Level 3
483,39.02777777777778,80,Level 4
484,47.2037037037037,80,Level 5
485,48.229166666666664,80,Level 6
486,20.444444444444446,81,Level 1
487,31.444444444444446,81,Level 2
488,34.0,81,Level 3
489,39.05555555555556,81,Level 4
490,47.18981481481481,81,Level 5
491,48.19907407407407,81,Level 6
492,20.22222222222222,82,Level 1
493,31.333333333333336,82,Level 2
494,34.02777777777778,82,Level 3
495,39.08333333333333,82,Level 4
496,47.33796296296296,82,Level 5
497,48.18865740740741,82,Level 6
498,20.444444444444446,83,Level 1
499,31.333333333333336,83,Level 2
500,33.77777777777778,83,Level 3
501,39.30555555555556,83,Level 4
502,47.333333333333336,83,Level 5
503,48.16435185185185,83,Level 6
